Net Status Report
Filename     : C:\Users\Shyamanth R H\Documents\Integrated Projects\Nucleo-G431RB-Custom_inverter-V1\PCB Design\CUSTOM-INVERTER-A2212\NUCLEOG431RB-Custom-IN-A2212.PcbDoc
Date         : 25-09-2020
Time         : 19:02:23
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetC40_2, Signal Layers Only, 27.844mm
    NetC47_1, Signal Layers Only, 4.4501mm
    NetC48_1, Signal Layers Only, 3.8284mm
    NetC48_2, Signal Layers Only, 8.9991mm
    NetC49_1, Signal Layers Only, 29.3435mm
    NetC55_2, Signal Layers Only, 11.0604mm
    NetC57_1, Signal Layers Only, 17.0509mm
    NetC65_1, Signal Layers Only, 32.9788mm
    NetC67_2, Signal Layers Only, 10.9338mm
    NetC70_1, Signal Layers Only, 16.763mm
    NetC78_1, Signal Layers Only, 33.9407mm
    NetC80_2, Signal Layers Only, 10.739mm
    NetC83_1, Signal Layers Only, 16.9429mm
    NetD10_1, Signal Layers Only, 2.309mm
    NetD10_2, Signal Layers Only, 8.4759mm
    NetD11_1, Signal Layers Only, 2.309mm
    NetD11_2, Signal Layers Only, 8.6778mm
    NetD12_1, Signal Layers Only, 2.309mm
    NetD12_2, Signal Layers Only, 8.4365mm
    NetD15_2, Signal Layers Only, 1.9978mm
    NetD17_2, Signal Layers Only, 2.0809mm
    NetD19_2, Signal Layers Only, 2.081mm
    NetD1_1, Signal Layers Only, 2.309mm
    NetD1_2, Signal Layers Only, 8.9853mm
    NetD20_2, Signal Layers Only, 3.7881mm
    NetD21_2, Signal Layers Only, 3.5mm
    NetD22_2, Signal Layers Only, 3.3665mm
    NetD23_1, Signal Layers Only, 0mm
    NetD24_1, Signal Layers Only, 16.3501mm
    NetD2_1, Signal Layers Only, 2.309mm
    NetD2_2, Signal Layers Only, 8.4923mm
    NetD3_1, Signal Layers Only, 2.3116mm
    NetD3_2, Signal Layers Only, 8.487mm
    NetD4_1, Signal Layers Only, 2.309mm
    NetD4_2, Signal Layers Only, 8.5379mm
    NetD5_1, Signal Layers Only, 2.309mm
    NetD5_2, Signal Layers Only, 8.4869mm
    NetD6_1, Signal Layers Only, 2.309mm
    NetD6_2, Signal Layers Only, 8.5439mm
    NetD7_1, Signal Layers Only, 2.309mm
    NetD7_2, Signal Layers Only, 8.487mm
    NetD8_1, Signal Layers Only, 2.309mm
    NetD8_2, Signal Layers Only, 8.2669mm
    NetD9_1, Signal Layers Only, 2.3121mm
    NetD9_2, Signal Layers Only, 8.487mm
    NetJ7_2, Signal Layers Only, 82.4748mm
    NetJ8_1, Signal Layers Only, 12.344mm
    NetLED1_2, Signal Layers Only, 2.0505mm
    NetLED2_2, Signal Layers Only, 2.0989mm
    NetLED3_2, Signal Layers Only, 2.0122mm
    NetLED4_2, Signal Layers Only, 15.594mm
    NetP1_2, Signal Layers Only, 19.5213mm
    NetP4_1, Signal Layers Only, 24.0066mm
    NetP4_2, Signal Layers Only, 23.4247mm
    NetP4_3, Signal Layers Only, 24.0416mm
    NetP4_4, Signal Layers Only, 42.8975mm
    NetQ11_3, Signal Layers Only, 6.8311mm
    NetQ13_1, Signal Layers Only, 4.7147mm
    NetQ14_1, Signal Layers Only, 4.8966mm
    NetQ15_3, Signal Layers Only, 7.161mm
    NetQ16_3, Signal Layers Only, 6.9876mm
    NetQ17_3, Signal Layers Only, 4.1075mm
    NetQ7_3, Signal Layers Only, 7.6291mm
    NetQ9_3, Signal Layers Only, 6.853mm
    NetR102_2, Signal Layers Only, 11.6591mm
    NetR139_2, Signal Layers Only, 13.7385mm
    NetR152_1, Signal Layers Only, 6.2296mm
    NetR153_1, Signal Layers Only, 5.7695mm
    NetR154_1, Signal Layers Only, 2.6088mm
    NetR168_2, Signal Layers Only, 3.1452mm
    NetR169_2, Signal Layers Only, 2.9215mm
    NetR170_2, Signal Layers Only, 4.3389mm
    NetR37_2, Signal Layers Only, 4.0436mm
    NetR38_2, Signal Layers Only, 4.5027mm
    NetR39_2, Signal Layers Only, 1.7421mm
    NetR40_3, Signal Layers Only, 9.8147mm
    NetR40_4, Signal Layers Only, 10.9815mm
    NetR41_3, Signal Layers Only, 10.4583mm
    NetR41_4, Signal Layers Only, 10.5103mm
    NetR42_3, Signal Layers Only, 9.4696mm
    NetR42_4, Signal Layers Only, 10.0151mm
    NetR43_2, Signal Layers Only, 3.169mm
    NetR44_2, Signal Layers Only, 3.9037mm
    NetR45_2, Signal Layers Only, 1.7421mm
    NetR56_1, Signal Layers Only, 38.131mm
    NetR58_1, Signal Layers Only, 6.8803mm
    NetR61_2, Signal Layers Only, 5.6684mm
    NetR63_1, Signal Layers Only, 29.7929mm
    NetR64_2, Signal Layers Only, 4.7633mm
    NetR70_1, Signal Layers Only, 5.0234mm
    NetR71_1, Signal Layers Only, 4.7827mm
    NetR73_1, Signal Layers Only, 17.9019mm
    NetR94_2, Signal Layers Only, 8.5944mm
    NetR98_2, Signal Layers Only, 8.573mm
    OPAMP_Supply, Signal Layers Only, 117.7442mm
    PH_U, Signal Layers Only, 57.0704mm
    PH_V, Signal Layers Only, 55.4749mm
    PH_W, Signal Layers Only, 55.2709mm
    SPEED, Signal Layers Only, 16.332mm
    Temperature Feedback, Signal Layers Only, 72.752mm
    V_Bus, Signal Layers Only, 86.4217mm
    V_Shunt_U_N, Signal Layers Only, 11.1137mm
    V_Shunt_U_P, Signal Layers Only, 10.879mm
    V_Shunt_V_N, Signal Layers Only, 10.5196mm
    V_Shunt_V_P, Signal Layers Only, 10.5329mm
    V_Shunt_W_N, Signal Layers Only, 11.6215mm
    V_Shunt_W_P, Signal Layers Only, 12.0151mm
    Z+/H3, Signal Layers Only, 45.4993mm
count : 238
